Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
1037;1;-0.450;-0.650;-3.407;4.75;-0.43;89.97;3.57;8.43;-36.82;98.84;-52.82;41.18;106.52
;;;;;-2.26;-7.56;-89.90;0.81;1.36;-112.69;-70.39;-265.44;-82.85;26.66
1038;1;-0.450;-0.750;-3.429;4.62;-0.27;88.95;3.11;7.17;-25.64;99.86;-41.53;76.70;98.39
;;;;;-1.76;-6.61;-89.74;0.78;1.27;-115.79;-69.67;-253.85;-86.50;18.62
1039;1;-0.450;-0.850;-3.451;4.41;-0.18;89.80;2.77;6.29;-19.67;99.81;-38.76;34.67;90.28
;;;;;-1.38;-5.78;-89.55;0.66;1.14;-121.78;-67.18;-241.96;-89.02;24.59
1040;1;-0.450;-0.950;-3.473;4.17;-0.15;89.43;2.45;5.68;-15.76;98.67;-37.26;89.45;86.51
;;;;;-1.06;-5.08;25.61;0.56;1.07;-126.60;-66.27;-230.00;-71.03;20.40
1041;1;-0.450;-1.050;-3.495;3.77;-0.12;88.01;2.13;4.98;40.35;96.82;-35.90;37.31;95.60
;;;;;-0.82;-4.34;23.78;0.47;0.90;-140.20;-67.84;-218.09;-68.90;17.40
1042;1;-0.450;-1.150;-3.518;3.46;-0.10;86.43;1.95;4.74;167.33;94.92;-34.70;40.18;105.18
;;;;;-0.64;-3.79;21.88;0.47;0.72;-51.33;-67.91;-207.96;-66.01;16.63
1043;1;-0.450;-1.250;-3.540;3.11;-0.08;84.75;1.81;4.82;136.08;93.32;-33.52;42.96;114.96
;;;;;-0.49;-3.27;35.50;0.46;0.72;-46.17;-66.53;-199.30;-61.84;16.44
1044;1;-0.450;-1.350;-3.562;2.80;-0.05;83.00;1.73;4.77;121.01;94.16;-32.28;46.93;124.64
;;;;;0.26;-2.84;39.85;0.44;0.83;-51.00;-63.61;-192.19;-56.60;17.89
1045;1;-0.450;-1.450;-3.584;2.52;-0.09;81.34;1.68;4.68;114.11;106.06;31.77;51.02;134.07
;;;;;0.54;-2.48;30.20;0.42;0.88;-56.89;-59.45;-186.70;-50.75;18.39
1046;1;-0.450;-1.550;-3.606;2.20;-0.11;79.88;1.62;4.75;114.16;117.80;30.89;54.35;142.74
;;;;;0.47;-2.11;19.44;0.40;0.96;-57.85;-54.11;-182.40;-45.13;17.28
1047;1;-0.450;-1.650;-3.629;1.87;-0.14;78.41;1.55;4.36;114.41;128.57;-29.73;56.83;150.17
;;;;;0.34;-1.75;-18.82;0.37;0.97;-58.15;-48.16;-178.86;-40.41;16.12
1048;1;-0.450;-1.750;-3.651;1.59;-0.12;77.10;1.50;3.97;113.58;137.29;-29.81;58.46;155.96
;;;;;0.28;-1.45;-19.39;0.31;0.96;-59.03;-42.06;-177.69;-36.85;14.91
1049;1;-0.450;-1.850;-3.673;1.82;-0.13;76.17;1.45;5.08;110.47;143.22;-29.96;59.28;159.92
;;;;;0.22;-1.61;-19.04;0.28;0.99;-61.86;-37.76;-179.92;-34.35;14.76
1050;1;-0.450;-1.950;-3.695;2.20;-0.17;75.55;1.41;6.22;110.29;145.93;-29.97;59.35;161.98
;;;;;0.14;-1.75;-18.01;0.19;0.95;-69.08;-29.92;-181.58;-32.66;14.64
1051;1;-0.550;-0.050;-3.298;7.49;-1.56;61.27;7.19;73.07;151.52;76.33;-116.67;-28.39;194.56
;;;;;-1.77;-12.22;-87.54;2.00;4.05;-164.49;-118.00;-396.84;-86.63;53.61
1052;1;-0.550;-0.150;-3.320;7.16;-1.37;79.73;8.44;38.52;178.10;87.96;-102.25;-21.02;164.59
;;;;;-2.32;-13.10;-89.87;1.46;4.62;-179.51;-116.82;-309.39;-88.43;46.68
1053;1;-0.550;-0.250;-3.341;4.67;-1.08;79.37;6.21;28.16;-133.84;93.47;-85.06;86.42;133.82
;;;;;-1.98;-11.76;-89.81;1.40;2.36;-168.36;-113.58;-265.47;-89.57;28.71
1054;1;-0.550;-0.350;-3.363;4.59;-0.81;89.82;4.89;18.00;-121.86;96.28;-76.74;73.39;112.38
;;;;;-2.70;-10.11;-89.21;1.19;2.18;-147.12;-87.65;-269.05;-67.40;27.33
1055;1;-0.550;-0.450;-3.385;4.54;-0.61;88.81;4.19;10.68;-109.00;99.84;-85.24;52.20;108.81
;;;;;-2.95;-8.70;-89.69;0.98;1.28;-130.94;-50.90;-267.04;-68.52;31.89
1056;1;-0.550;-0.550;-3.406;4.47;-0.45;89.07;3.55;7.58;-69.07;103.03;-62.94;33.18;103.65
;;;;;-2.44;-7.54;-89.41;0.97;1.26;-116.54;-53.73;-261.03;-71.10;25.74
1057;1;-0.550;-0.650;-3.428;4.38;-0.28;89.55;2.88;6.44;-44.82;105.21;-39.95;22.38;96.94
;;;;;-2.06;-6.65;-89.77;0.80;0.88;-108.68;-59.46;-252.99;-75.89;25.63
1058;1;-0.550;-0.750;-3.449;4.23;-0.21;88.53;2.65;5.32;-29.81;106.45;-42.32;26.83;89.47
;;;;;-1.67;-5.87;-89.94;0.69;0.76;-111.25;-65.48;-243.63;-71.67;22.42
1059;1;-0.550;-0.850;-3.471;4.07;-0.13;89.79;2.36;4.62;-21.14;106.60;-36.63;30.13;82.08
;;;;;-1.32;-5.23;-89.07;0.65;0.74;-114.37;-70.43;-233.52;-71.68;16.65
1060;1;-0.550;-0.950;-3.492;3.73;-0.06;89.73;2.05;3.59;156.82;105.88;-34.46;32.83;85.53
;;;;;-1.03;-4.51;-90.00;0.47;0.66;-126.13;-74.23;-222.61;-70.77;15.80
1061;1;-0.550;-1.050;-3.514;3.46;-0.06;89.21;1.88;3.82;166.75;104.86;-33.57;89.15;95.57
;;;;;-0.88;-3.97;26.47;0.49;0.43;-137.84;-76.48;-213.05;-66.68;15.06
1062;1;-0.550;-1.150;-3.535;3.15;-0.09;87.83;1.75;4.51;124.50;103.75;-32.69;37.40;106.04
;;;;;-0.66;-3.45;-58.64;0.46;0.54;-55.38;-77.33;-204.55;-63.82;14.29
1063;1;-0.550;-1.250;-3.557;2.83;-0.08;86.31;1.64;4.86;113.96;102.89;34.03;40.83;116.67
;;;;;-0.38;-2.98;-80.42;0.43;0.74;-60.51;-76.07;-197.26;-59.90;19.55
1064;1;-0.550;-1.350;-3.579;2.52;-0.07;86.13;1.57;4.93;109.96;105.68;37.54;46.62;127.26
;;;;;-0.16;-2.57;-86.49;0.41;0.90;-63.14;-73.09;-191.44;-55.11;18.56
1065;1;-0.550;-1.450;-3.600;2.24;-0.10;89.99;1.52;4.75;108.00;116.78;38.93;51.89;137.42
;;;;;0.35;-2.20;-89.29;0.39;1.00;-64.74;-68.69;-186.87;-49.92;17.52
1066;1;-0.550;-1.550;-3.622;1.94;-0.13;89.65;1.47;4.53;109.58;127.14;38.20;56.09;146.87
;;;;;0.38;-1.86;20.15;0.37;1.01;-63.55;-63.11;-183.15;-45.00;16.44
1067;1;-0.550;-1.650;-3.643;1.63;-0.15;86.85;1.40;4.14;111.89;135.66;35.62;59.10;154.76
;;;;;0.31;-1.51;-15.72;0.34;0.98;-61.48;-56.75;-179.84;-40.87;15.33
1068;1;-0.550;-1.750;-3.665;1.47;-0.17;84.69;1.34;3.65;111.19;141.55;31.79;61.04;160.77
;;;;;0.23;-1.37;-14.22;0.31;1.01;-61.55;-50.31;-181.58;-37.69;15.19
1069;1;-0.550;-1.850;-3.686;1.80;-0.16;83.07;1.29;4.51;107.62;144.33;27.02;62.04;164.84
;;;;;0.15;-1.52;-15.64;0.25;1.04;-64.02;-44.02;-187.12;-35.35;15.29
1070;1;-0.550;-1.950;-3.708;2.17;-0.20;81.88;1.34;5.54;103.83;143.68;-26.24;62.19;166.95
;;;;;0.10;-1.67;-14.73;0.17;0.97;-69.30;-39.71;-192.20;-33.67;15.38
1071;1;-0.650;-0.050;-3.323;6.50;-1.00;64.25;6.45;55.88;-153.86;66.57;-109.52;-28.64;186.46
;;;;;-0.55;-9.12;-83.91;1.96;3.66;-168.99;-104.36;-371.11;-88.70;51.93
1072;1;-0.650;-0.150;-3.344;6.17;-0.83;79.39;7.34;28.77;176.84;81.51;-88.77;88.20;155.07
;;;;;-0.86;-10.69;-86.51;1.28;3.31;-169.58;-101.24;-289.36;-71.78;45.01
1073;1;-0.650;-0.250;-3.365;4.23;-0.61;82.44;5.35;22.93;-133.86;90.59;-78.92;85.42;125.69
;;;;;-1.41;-9.69;-87.51;1.07;2.09;-168.86;-94.21;-243.86;-78.74;27.21
1074;1;-0.650;-0.350;-3.386;4.23;-0.44;88.77;3.82;14.44;-125.80;93.45;-71.63;66.52;103.42
;;;;;-1.43;-8.49;-88.54;0.92;1.78;-157.92;-67.79;-249.43;-74.76;25.93
1075;1;-0.650;-0.450;-3.407;4.22;-0.33;87.16;3.32;8.45;-111.60;99.31;-73.34;47.02;98.11
;;;;;-2.08;-7.47;-89.45;0.77;1.15;-151.78;-54.19;-250.41;-66.73;29.94
1076;1;-0.650;-0.550;-3.428;4.14;-0.25;89.78;2.73;6.37;-99.80;103.53;-50.18;31.57;93.56
;;;;;-1.93;-6.62;-89.95;0.64;0.93;-137.46;-59.58;-246.70;-67.55;27.68
1077;1;-0.650;-0.650;-3.449;4.04;-0.18;89.74;2.53;5.46;-57.58;106.45;-34.42;22.64;87.52
;;;;;-1.74;-5.90;-89.65;0.56;0.51;-123.54;-65.75;-240.79;-68.14;24.51
1078;1;-0.650;-0.750;-3.470;3.92;-0.13;89.30;2.27;4.71;-34.55;108.10;-37.84;22.04;80.68
;;;;;-1.49;-5.30;-89.41;0.62;0.63;-126.24;-71.71;-233.02;-68.85;21.70
1079;1;-0.650;-0.850;-3.490;3.65;0.10;88.38;2.00;2.94;179.00;108.71;-35.58;25.99;76.53
;;;;;-1.23;-4.61;-89.79;0.54;0.36;-173.08;-77.36;-223.49;-68.83;18.37
1080;1;-0.650;-0.950;-3.511;3.44;0.08;88.07;1.84;3.21;171.43;108.81;-32.58;29.11;85.20
;;;;;-1.02;-4.10;-89.52;0.36;0.31;-178.77;-81.83;-214.61;-68.16;14.82
1081;1;-0.650;-1.050;-3.532;3.14;-0.06;89.76;1.69;4.18;115.79;108.45;-31.51;31.75;95.41
;;;;;-0.80;-3.57;-89.94;0.46;0.58;-68.19;-84.96;-205.96;-66.24;14.12
1082;1;-0.650;-1.150;-3.553;2.85;-0.09;89.53;1.59;4.82;107.35;107.93;35.87;34.34;106.34
;;;;;-0.59;-3.10;-75.36;0.42;0.84;-70.26;-86.09;-198.24;-62.00;14.44
1083;1;-0.650;-1.250;-3.574;2.53;-0.08;88.14;1.49;5.06;105.39;107.71;41.16;38.36;117.39
;;;;;-0.43;-2.65;-80.57;0.37;0.98;-70.35;-84.89;-191.81;-58.09;14.24
1084;1;-0.650;-1.350;-3.595;2.24;-0.12;86.59;1.42;4.92;104.52;114.33;44.40;45.98;128.33
;;;;;-0.20;-2.26;-84.04;0.40;1.03;-70.33;-81.65;-186.84;-53.44;17.65
1085;1;-0.650;-1.450;-3.616;1.96;-0.17;84.97;1.37;4.63;105.51;124.08;45.59;52.87;138.72
;;;;;0.21;-1.92;-87.18;0.38;1.03;-69.21;-76.88;-182.95;-48.59;17.36
1086;1;-0.650;-1.550;-3.637;1.67;-0.21;83.42;1.31;4.28;107.26;132.23;44.78;58.12;148.12
;;;;;0.28;-1.59;-89.56;0.36;1.01;-67.37;-69.27;-179.67;-44.12;17.98
1087;1;-0.650;-1.650;-3.658;1.37;-0.24;88.44;1.25;3.92;109.08;138.37;42.26;61.72;156.04
;;;;;0.19;-1.51;-88.85;0.37;1.10;-65.26;-62.63;-176.61;-40.41;18.66
1088;1;-0.650;-1.750;-3.679;1.52;-0.27;89.87;1.19;3.76;108.47;141.64;38.61;63.93;162.02
;;;;;0.11;-1.42;-89.73;0.33;1.09;-64.84;-56.00;-182.73;-37.52;18.85
1089;1;-0.650;-1.850;-3.700;1.84;-0.29;88.51;1.32;3.88;105.17;141.83;34.12;65.04;166.16
;;;;;0.06;-1.47;-12.78;0.29;1.13;-66.65;-49.68;-190.99;-35.33;18.95
1090;1;-0.650;-1.950;-3.721;2.19;-0.31;87.01;1.49;4.95;101.59;137.88;28.98;65.14;168.21
;;;;;0.06;-1.64;-12.46;0.18;0.94;-68.67;-43.77;-198.90;-33.70;15.73
1091;1;-0.750;-0.050;-3.348;5.66;-0.76;68.16;5.92;43.17;-149.77;55.20;-103.31;88.42;177.68
;;;;;0.56;-7.36;-80.73;1.49;4.11;-171.39;-92.95;-356.10;-74.12;49.79
1092;1;-0.750;-0.150;-3.368;5.18;-0.60;82.03;6.39;22.88;165.54;71.68;-73.89;83.46;144.28
;;;;;-0.43;-8.85;-83.81;1.16;3.35;-179.33;-88.55;-270.72;-72.66;37.11
1093;1;-0.750;-0.250;-3.388;3.83;-0.44;85.77;4.65;18.87;-145.74;83.02;-73.62;76.19;115.59
;;;;;-0.61;-8.12;-85.45;0.84;2.49;-175.28;-77.74;-237.42;-89.65;25.87
1094;1;-0.750;-0.350;-3.409;3.88;-0.32;89.84;3.36;11.84;-140.08;90.80;-67.26;59.47;99.51
;;;;;-1.26;-7.23;-86.70;0.72;1.52;-174.45;-54.27;-231.68;-62.39;24.71
1095;1;-0.750;-0.450;-3.429;3.89;-0.24;88.23;2.87;7.03;-129.84;96.06;-64.09;43.67;92.17
;;;;;-1.44;-6.52;-87.52;0.62;0.91;-175.73;-58.33;-234.97;-64.95;31.46
1096;1;-0.750;-0.550;-3.449;3.81;-0.18;89.44;2.41;5.16;177.22;99.54;-32.47;31.86;84.35
;;;;;-1.49;-5.83;-88.19;0.65;0.72;-172.50;-64.55;-233.24;-65.88;26.80
1097;1;-0.750;-0.650;-3.470;3.75;0.15;87.93;2.18;4.67;169.25;103.32;-31.44;23.93;78.84
;;;;;-1.42;-5.28;-88.98;0.55;0.36;-177.89;-71.08;-228.77;-66.51;23.79
1098;1;-0.750;-0.750;-3.490;3.55;0.14;89.70;1.95;2.93;82.32;105.78;-33.22;19.29;72.07
;;;;;-1.27;-4.66;-89.68;0.43;0.19;-179.45;-77.71;-221.85;-66.65;27.02
1099;1;-0.750;-0.850;-3.510;3.37;0.12;89.31;1.80;2.91;165.59;107.32;-37.64;22.07;77.37
;;;;;-1.12;-4.17;-89.37;0.52;0.21;-179.37;-83.54;-214.05;-66.63;18.83
1100;1;-0.750;-0.950;-3.530;3.12;0.09;87.69;1.67;4.01;111.17;108.04;-31.84;25.56;86.31
;;;;;-0.96;-3.66;-89.86;0.44;0.46;-84.03;-88.63;-205.72;-65.84;25.34
1101;1;-0.750;-1.050;-3.551;2.84;-0.09;89.45;1.55;4.80;106.89;108.19;35.69;28.44;95.76
;;;;;-0.79;-3.18;-88.89;0.40;0.93;-79.49;-92.21;-197.41;-63.77;13.75
1102;1;-0.750;-1.150;-3.571;2.55;-0.10;89.17;1.45;5.09;103.55;108.27;42.83;30.66;106.14
;;;;;-0.61;-2.74;-89.35;0.38;1.06;-78.38;-93.67;-190.09;-60.32;16.86
1103;1;-0.750;-1.250;-3.591;2.25;-0.11;89.24;1.36;5.04;102.13;111.06;47.85;35.14;117.24
;;;;;-0.47;-2.33;-89.92;0.30;1.09;-76.17;-92.06;-184.08;-56.24;17.69
1104;1;-0.750;-1.350;-3.612;1.95;-0.14;88.79;1.28;4.73;103.32;120.48;50.69;44.21;127.96
;;;;;-0.25;-1.95;-78.21;0.35;1.06;-74.42;-88.00;-179.45;-51.52;17.12
1105;1;-0.750;-1.450;-3.632;1.68;-0.18;87.14;1.23;4.40;103.73;128.63;51.59;53.79;138.05
;;;;;-0.22;-1.62;-81.29;0.34;1.04;-73.13;-82.28;-175.95;-46.80;17.98
1106;1;-0.750;-1.550;-3.652;1.41;-0.22;85.60;1.17;4.04;105.31;134.91;50.61;60.68;147.18
;;;;;-0.21;-1.58;-83.90;0.35;1.15;-70.98;-75.91;-173.06;-42.58;18.80
1107;1;-0.750;-1.650;-3.673;1.31;-0.25;84.08;1.16;3.86;106.28;138.59;48.03;64.97;154.75
;;;;;-0.18;-1.57;-86.09;0.32;1.12;-69.04;-68.92;-170.91;-39.17;19.38
1108;1;-0.750;-1.750;-3.693;1.60;-0.28;82.59;1.31;3.87;105.42;139.64;44.53;67.43;160.76
;;;;;-0.14;-1.52;-87.93;0.29;1.13;-68.30;-62.18;-181.87;-36.47;19.66
1109;1;-0.750;-1.850;-3.713;1.90;-0.31;81.28;1.46;3.78;104.31;137.33;40.24;68.50;164.83
;;;;;-0.11;-1.43;-89.43;0.26;1.12;-67.74;-55.80;-192.33;-34.40;19.86
1110;1;-0.750;-1.950;-3.734;2.22;-0.31;80.24;1.63;4.39;102.49;130.55;35.30;68.36;166.48
;;;;;-0.16;-1.61;-89.55;0.22;1.01;-67.44;-49.79;-202.42;-32.89;19.60
1111;1;-0.850;-0.050;-3.372;4.96;-0.63;73.02;5.47;32.06;-145.43;53.73;-81.42;84.57;168.91
;;;;;0.88;-6.66;-77.88;1.14;4.04;-172.53;-82.65;-340.82;-70.26;47.39
1112;1;-0.850;-0.150;-3.392;4.27;-0.49;87.79;5.55;20.14;179.32;60.28;-66.83;81.23;133.48
;;;;;0.42;-7.38;-82.44;1.00;3.14;-179.04;-77.11;-253.90;-75.11;26.40
1113;1;-0.850;-0.250;-3.412;3.47;-0.33;89.16;4.04;15.56;179.26;72.81;-67.52;67.20;106.45
;;;;;-0.36;-6.84;-88.87;0.67;2.03;-179.63;-62.83;-231.43;-59.80;24.64
1114;1;-0.850;-0.350;-3.431;3.56;-0.26;88.09;3.19;9.92;177.59;82.09;-63.41;53.98;98.60
;;;;;-0.44;-6.24;-88.98;0.58;1.32;-176.23;-54.87;-218.63;-60.35;23.61
1115;1;-0.850;-0.450;-3.451;3.58;-0.19;89.04;2.59;6.13;179.09;88.83;-52.20;39.20;91.81
;;;;;-0.99;-5.69;-88.75;0.50;0.83;-177.24;-61.07;-220.96;-62.98;30.88
1116;1;-0.850;-0.550;-3.471;3.55;0.18;89.60;2.19;4.48;179.03;93.50;-28.06;32.95;84.03
;;;;;-1.12;-5.17;-89.25;0.55;0.57;-175.03;-67.67;-220.70;-64.22;26.41
1117;1;-0.850;-0.650;-3.490;3.36;0.17;89.90;1.86;2.93;143.97;96.82;-29.70;26.36;72.74
;;;;;-1.12;-4.57;-89.97;0.46;0.32;-174.22;-74.70;-216.94;-65.00;25.88
1118;1;-0.850;-0.750;-3.510;3.25;0.15;89.11;1.75;3.00;154.58;100.22;-29.12;21.09;69.64
;;;;;-1.07;-4.15;-88.19;0.41;0.16;-154.43;-81.84;-211.72;-65.55;20.51
1119;1;-0.850;-0.850;-3.530;3.03;0.14;89.33;1.62;3.99;115.87;102.50;-35.62;19.54;78.30
;;;;;-0.98;-3.66;-89.87;0.37;0.45;-111.61;-88.52;-204.40;-65.32;13.82
1120;1;-0.850;-0.950;-3.550;2.80;-0.10;89.28;1.52;4.82;111.41;103.92;33.47;21.99;87.32
;;;;;-0.87;-3.22;-89.79;0.41;0.78;-96.04;-94.00;-196.39;-64.24;23.09
1121;1;-0.850;-1.050;-3.569;2.54;-0.12;89.08;1.42;5.13;110.51;104.80;42.42;24.99;96.80
;;;;;-0.75;-2.79;-89.25;0.38;0.99;-91.10;-97.72;-188.33;-62.04;14.30
1122;1;-0.850;-1.150;-3.589;2.26;-0.15;86.81;1.33;5.06;109.94;107.24;49.64;25.92;106.57
;;;;;-0.60;-2.38;-88.84;0.38;1.36;-83.37;-99.71;-180.98;-58.62;17.74
1123;1;-0.850;-1.250;-3.609;1.97;-0.16;79.81;1.24;4.81;108.72;116.30;53.95;30.77;116.40
;;;;;-0.49;-2.00;-88.49;0.30;1.26;-80.49;-98.53;-174.93;-54.17;19.01
1124;1;-0.850;-1.350;-3.628;1.68;-0.20;76.99;1.16;4.49;104.06;124.23;56.35;38.85;126.41
;;;;;-0.28;-1.64;-89.99;0.34;1.25;-78.13;-93.50;-170.36;-49.20;18.06
1125;1;-0.850;-1.450;-3.648;1.42;-0.19;89.69;1.10;4.14;103.29;130.69;56.89;54.32;136.00
;;;;;-0.28;-1.55;-76.78;0.32;1.19;-76.19;-88.01;-167.01;-44.39;18.45
1126;1;-0.850;-1.550;-3.668;1.16;-0.23;88.12;1.16;3.85;104.30;134.93;55.62;64.38;144.53
;;;;;-0.26;-1.61;-79.42;0.30;1.14;-74.19;-81.30;-164.29;-40.27;19.19
1127;1;-0.850;-1.650;-3.687;1.41;-0.26;86.66;1.29;3.90;104.50;136.72;52.99;69.58;151.78
;;;;;-0.24;-1.61;-81.67;0.28;1.13;-72.07;-74.15;-167.98;-37.01;19.81
1128;1;-0.850;-1.750;-3.707;1.68;-0.30;85.22;1.44;3.88;103.71;135.85;49.55;72.07;157.58
;;;;;-0.21;-1.59;-83.59;0.25;1.13;-70.66;-67.32;-180.07;-34.46;20.22
1129;1;-0.850;-1.850;-3.727;1.97;-0.30;83.75;1.59;3.71;103.44;131.22;45.38;73.25;161.38
;;;;;-0.20;-1.51;-85.20;0.22;1.10;-68.68;-60.86;-192.00;-32.55;20.50
1130;1;-0.850;-1.950;-3.746;2.26;-0.27;82.65;1.75;3.84;103.23;121.56;40.56;72.10;162.50
;;;;;-0.30;-1.58;-85.79;0.16;0.95;-66.39;-54.73;-203.67;-31.25;19.62
1131;1;-0.950;-0.050;-3.397;4.55;-0.51;86.88;4.98;23.63;151.79;60.22;-64.11;79.84;160.45
;;;;;0.81;-5.97;-78.24;1.03;3.75;-173.34;-72.83;-326.82;-79.05;44.20
1132;1;-0.950;-0.150;-3.416;3.49;-0.34;87.89;4.78;17.58;178.73;58.76;-60.41;73.07;123.51
;;;;;0.57;-6.23;-88.37;0.83;2.99;-179.30;-66.02;-240.61;-83.00;23.91
1133;1;-0.950;-0.250;-3.435;3.19;-0.28;84.71;3.58;12.93;179.61;61.31;-60.97;61.19;103.79
;;;;;0.43;-5.82;-87.60;0.55;1.67;-179.36;-49.29;-225.42;-59.31;23.48
1134;1;-0.950;-0.350;-3.454;3.28;-0.21;86.22;2.83;8.47;176.15;71.45;-59.98;50.58;96.71
;;;;;-0.32;-5.38;-88.91;0.48;1.15;-179.92;-55.08;-213.79;-57.89;27.07
1135;1;-0.950;-0.450;-3.473;3.32;0.19;89.90;2.35;5.58;177.57;79.07;-37.43;41.66;89.97
;;;;;-0.69;-4.98;-89.85;0.42;0.79;-173.88;-61.78;-208.13;-59.15;28.20
1136;1;-0.950;-0.550;-3.492;3.17;0.18;87.85;1.93;3.49;170.80;84.76;-25.17;34.61;83.08
;;;;;-0.81;-4.43;-87.75;0.45;0.55;-178.32;-68.75;-209.00;-62.30;25.03
1137;1;-0.950;-0.650;-3.511;3.09;0.16;87.67;1.69;3.47;169.34;88.96;-27.06;28.73;75.26
;;;;;-0.88;-4.04;-89.08;0.41;0.41;-177.12;-76.47;-207.05;-63.69;18.74
1138;1;-0.950;-0.750;-3.530;2.93;0.13;89.20;1.59;4.14;161.86;92.38;-28.52;23.82;70.76
;;;;;-0.88;-3.62;-89.98;0.37;0.50;-172.01;-84.34;-202.50;-64.42;23.89
1139;1;-0.950;-0.850;-3.550;2.73;0.10;89.26;1.49;4.87;133.73;95.33;-34.35;19.85;79.33
;;;;;-0.83;-3.20;-88.07;0.34;0.75;-143.73;-91.40;-195.64;-64.36;23.32
1140;1;-0.950;-0.950;-3.569;2.49;-0.11;89.72;1.40;5.15;113.46;97.35;39.89;18.83;88.22
;;;;;-0.77;-2.79;-89.58;0.31;0.90;-118.74;-97.31;-187.63;-63.19;15.89
1141;1;-0.950;-1.050;-3.588;2.24;-0.14;88.76;1.31;5.06;116.38;103.22;48.61;21.44;97.40
;;;;;-0.67;-2.40;-89.74;0.33;1.07;-95.56;-101.48;-179.32;-60.69;15.47
1142;1;-0.950;-1.150;-3.607;1.98;-0.16;88.52;1.22;4.85;117.93;111.76;55.14;20.82;106.70
;;;;;-0.58;-2.02;-86.43;0.27;1.36;-87.65;-103.67;-171.55;-56.74;16.26
1143;1;-0.950;-1.250;-3.626;1.70;-0.18;83.24;1.13;4.54;118.96;119.51;59.37;24.67;115.98
;;;;;-0.34;-1.67;-87.95;0.25;1.16;-88.73;-102.97;-165.10;-51.62;17.51
1144;1;-0.950;-1.350;-3.645;1.43;-0.18;80.91;1.05;4.22;119.19;125.87;61.29;29.78;124.85
;;;;;-0.32;-1.45;-87.35;0.28;1.24;-86.33;-97.96;-160.27;-46.07;16.64
1145;1;-0.950;-1.450;-3.664;1.18;-0.20;78.07;1.15;3.88;114.76;130.65;61.39;52.25;133.20
;;;;;-0.31;-1.56;-88.89;0.28;1.18;-82.39;-92.38;-156.87;-40.96;18.61
1146;1;-0.950;-1.550;-3.683;1.27;-0.24;89.92;1.27;3.85;103.11;133.12;59.79;71.92;140.80
;;;;;-0.30;-1.62;-89.69;0.26;1.15;-77.16;-85.51;-154.23;-36.85;19.34
1147;1;-0.950;-1.650;-3.702;1.52;-0.28;89.70;1.40;3.91;102.93;133.35;57.10;77.39;147.71
;;;;;-0.29;-1.65;-77.93;0.24;1.14;-74.80;-78.38;-164.45;-33.70;19.98
1148;1;-0.950;-1.750;-3.721;1.78;-0.24;88.15;1.56;3.79;103.31;130.59;53.62;78.91;153.11
;;;;;-0.27;-1.65;-79.90;0.21;1.10;-72.11;-71.46;-177.52;-55.10;20.49
1149;1;-0.950;-1.850;-3.740;2.05;-0.27;86.86;1.71;3.56;104.04;123.48;49.47;78.57;156.28
;;;;;-0.34;-1.59;-80.84;0.12;1.05;-68.84;-64.82;-190.56;-78.12;15.61
1150;1;-0.950;-1.950;-3.759;2.32;-0.30;85.75;1.87;3.34;104.33;117.48;44.75;88.81;156.79
;;;;;-0.40;-1.57;-82.56;0.16;0.89;-65.32;-58.58;-203.58;-30.95;20.52
1151;1;-1.050;-0.050;-3.422;4.13;-0.40;58.85;4.48;17.51;154.33;68.26;-55.68;87.67;152.29
;;;;;0.71;-5.25;-89.52;0.75;2.64;-174.59;-63.24;-317.15;-73.90;31.02
1152;1;-1.050;-0.150;-3.440;2.89;-0.30;87.95;4.08;15.15;179.98;68.80;-54.53;71.77;114.90
;;;;;0.62;-5.35;-84.65;0.67;2.69;-175.83;-55.06;-234.12;-61.28;21.62
1153;1;-1.050;-0.250;-3.459;2.93;-0.22;89.32;3.11;10.96;179.78;70.09;-55.11;57.17;100.51
;;;;;0.55;-4.94;-84.60;0.46;1.37;-179.30;-46.84;-219.32;-58.68;26.41
1154;1;-1.050;-0.350;-3.477;3.04;-0.17;89.55;2.53;7.47;179.71;71.71;-55.60;48.80;93.94
;;;;;0.33;-4.67;-89.66;0.41;1.01;-179.79;-53.46;-208.56;-54.99;30.09
1155;1;-1.050;-0.450;-3.495;2.97;0.18;89.15;2.06;4.94;178.34;74.00;-33.37;42.07;87.60
;;;;;-0.30;-4.23;-89.32;0.45;0.74;-178.66;-60.34;-196.61;-56.56;26.22
1156;1;-1.050;-0.550;-3.514;2.91;0.16;87.19;1.77;4.07;176.47;77.09;-22.82;34.17;80.97
;;;;;-0.56;-3.88;-89.14;0.40;0.56;-179.32;-68.11;-199.46;-60.26;23.00
1157;1;-1.050;-0.650;-3.532;2.78;0.14;88.07;1.54;4.41;174.16;82.04;-24.82;31.01;73.58
;;;;;-0.65;-3.50;-89.77;0.36;0.52;-178.42;-76.44;-198.60;-62.15;22.88
1158;1;-1.050;-0.750;-3.551;2.62;-0.11;89.92;1.46;4.95;154.86;87.50;-26.37;26.51;71.85
;;;;;-0.68;-3.13;-88.99;0.34;0.72;-177.12;-84.48;-194.53;-63.33;22.63
1159;1;-1.050;-0.850;-3.569;2.43;-0.10;87.58;1.39;5.22;144.46;93.60;35.09;22.65;80.26
